Protein,aWT,aWT2,a15G,a15G,a16G,a16G,a15_blank,a15_blank,bWT,bWT2,b5G,b5G,b8G,b8G,b10G,b10G
M1LCZ5,0.9948223687929384,1.0051776312070615,1.1961759676588635,1.0881306327510298,1.4794629869213847,1.285341603757416,1.5506424103076757,1.130406875742362,1.0124722857732116,0.9875277142267883,1.055788426130605,0.9432418034902369,1.1962547973096145,1.1321801872754094,1.2530467685071778,0.6849798944054126
M1LD32,0.7635591403586109,1.236440859641389,1.5990241788868915,1.337695761751765,1.5152904326292655,1.028216468776894,0.9380023527041363,0.8140164736121529,0.8070181286184711,1.192981871381529,1.1592203130010166,0.9004018748832149,1.7784524994803386,1.4593350283516833,1.084137524892677,1.3696848502448722
M1LD57,1.0356298192160551,0.9643701807839449,1.0833457337943464,1.0456885187611304,1.0505570886735989,1.0070045496209652,1.1066068101843825,1.0693158872171324,1.0124661721493502,0.9875338278506499,0.9815046383080904,1.1190219515711015,0.9382499014270123,1.0023259131529183,1.0015847367592525,0.8897488865237243
M1LD65,1.0404448988403538,0.9595551011596463,1.2720271132990437,1.0898936679140507,1.1654560846639328,1.1293903227337427,1.012752837003059,1.3089403901522612,1.0967982310251243,0.9032017689748757,1.015272478335516,0.721284801180464,0.8485639500685069,0.8078341590687768,0.8926351899338536,0.6170726373040115
M1LD69,0.9539915682648159,1.046008431735184,0.9597453514657819,1.0899059663249435,0.9264516764869309,1.0460836568810972,1.1191101200396085,1.0828065558612177,1.0160201683241903,0.9839798316758098,0.8807004979194697,0.7314553292107113,0.9532307583415804,0.8583479609956001,0.8154618110509525,0.4831450983634965
M1LD90,0.8141946829142351,1.1858053170857648,1.1510699006692187,0.7134301667917047,0.8129971510687167,0.7575971396447854,0.790456939091676,0.6364479500454486,0.9161113841786563,1.0838886158213437,1.231628925987581,1.43215731041169,0.9374121556348665,0.9540393701943409,0.9251864532351936,1.947045498353259
M1LDC2,1.0531332651181462,0.9468667348818539,1.0552809122631028,1.0448778859919816,1.2603255054791302,1.4533773327730712,1.8577572675401322,1.6698770167297283,1.0761326642841973,0.9238673357158029,1.025007375547713,1.0624979720547811,0.9574965200539313,0.9408471046238371,1.127506983414208,0.7072497742766667
M1LDD8,1.0208378118543677,0.979162188145632,0.9858534860312765,0.9053104950286829,0.9646921421597643,0.8944748247972873,0.9913049310850832,0.9606716159685114,1.1584131169812801,0.8415868830187201,0.800654534530233,0.7270486440550299,0.8854309090199898,0.9292127278447438,0.9303748155177508,0.6950807856781702
M1LDE0,1.064109989489187,0.9358900105108134,1.1172764308914276,1.0525634646866409,0.9942397883388013,1.3330888268456575,1.124491803972312,1.1185213755180219,0.8783289671267362,1.121671032873264,1.2479130126940372,0.7131339953649621,1.0462090236382346,1.0244832084592148,1.3279452582042606,0.6128470378519261
M1LDL9,0.9789838653196004,1.0210161346803996,1.0079987090327371,0.8795560048054273,1.0124458814401631,0.92798678840762,0.9410951843083137,1.0728808002658143,0.9881814568809093,1.0118185431190907,0.7707167673969179,0.7628884869279697,0.8617772876288488,0.8156595119422635,0.7166705165204129,0.9354225114739089
M1LDP0,1.013864378486949,0.9861356215130511,1.310246270669352,1.194578690739934,1.415434860638908,1.2642540226827963,1.277831657678596,1.4311815488768536,0.9708828801359829,1.0291171198640172,1.0894584914736112,0.8048242928134254,1.0783598117204516,1.016557815817249,1.341552467364047,0.9649187362049522
M1LE54,0.8236382255714704,1.1763617744285297,1.3467427749878622,1.1943339985915684,1.5642159066181838,1.1662107191314632,0.851595665672366,0.8215555805020808,0.8177074220616484,1.182292577938352,0.9946806742932441,0.9324125703989492,1.3663350561677776,1.1254780602747938,0.8520370127399288,3.0095447821924015
M1LE86,0.911548780119574,1.088451219880426,1.2539632976092288,1.014897250850092,0.8864421998516917,1.1791261109159608,1.0984942586832813,1.336978710513929,0.9296697630392794,1.0703302369607204,1.2658140308573798,1.1219024289599209,0.9927263023895079,0.9931669953423866,1.199020657429693,0.9046725471321031
